ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
IMG,IAMGold Corporation,TSX,Gold,24.739999771118164,2.23,14671462634.207125,CAD,2026-01-15T06:44:15.940648
AG,First Majestic Silver Corp.,TSX,Gold,27.540000915527344,-0.15,13495394564.534798,CAD,2026-01-15T06:44:16.544991
CGG,China Gold International Resources Corp. Ltd.,TSX,Gold,32.88999938964844,2.43,13038048094.218246,CAD,2026-01-15T06:44:17.208426
HBM,HudBay Minerals Inc.,TSX,Gold,32.040000915527344,2.46,12692602756.244911,CAD,2026-01-15T06:44:17.865400
ELD,Eldorado Gold Corporation,TSX,Gold,56.77000045776367,-0.04,11413281823.910751,CAD,2026-01-15T06:44:18.527689
NGD,New Gold Inc.,TSX,Gold,14.119999885559082,-0.84,11179183793.874046,CAD,2026-01-15T06:44:19.136592
OR,OR Royalties Inc.,TSX,Gold,56.61000061035156,-0.33,10653660416.90448,CAD,2026-01-15T06:44:19.761735
CS,Capstone Copper Corp.,TSX,Copper,13.819999694824219,0.44,10549646147.420769,CAD,2026-01-15T06:44:20.399179
DPM,DPM Metals Inc.,TSX,Gold,47.4900016784668,1.76,10537505990.563213,CAD,2026-01-15T06:44:21.090768
TFPM,Triple Flag Precious Metals Corp.,TSX,Gold,50.72999954223633,-0.08,10478865104.823647,CAD,2026-01-15T06:44:21.885090
NXE,NexGen Energy Ltd.,TSX,Uranium,16.0,2.89,10472977248.0,CAD,2026-01-15T06:44:22.521585
OGC,OceanaGold Corporation,TSX,Gold,44.91999816894531,2.35,10261536689.793365,CAD,2026-01-15T06:44:23.169662
GMIN,G Mining Ventures Corp.,TSX,Gold,41.18000030517578,5.48,9377663435.615768,CAD,2026-01-15T06:44:23.765552
ARTG,Artemis Gold Inc.,TSXV,Gold,39.22999954223633,0.1,9061677768.511868,CAD,2026-01-15T06:44:24.501135
BTO,B2Gold Corp.,TSX,Gold,6.480000019073486,1.89,8658172574.204805,CAD,2026-01-15T06:44:25.170790
